Trial,Mean_Wave,Range_Wave,Tad_ID,Mass,Stage,Condition,Predator,Exploration,Cons_g,Spider_mm,White,Black,Rest,Swim,Pivot,Zone_1,Zone_2,Zone_3,rMean_OG,gMean_OG,bMean_OG
5,0.20441814,0.252625,LAS-007,0.124,41,White,Conspecific,1,0.07,13,NA,NA,52,8,NA,1,0,59,36.63177688,32.45020697,28.74649866
6,0.31948469,0.292145,LAS-008,0.117,34,White,Spider,3,0.07,13,NA,NA,57,2,NA,54,6,0,36.63177688,32.45020697,28.74649866
6,0.31948469,0.292145,LAS-008,0.117,34,Background,NA,NA,0.07,12,15,45,38,22,0,NA,NA,NA,25.02870147,21.15152148,17.28111222
6,0.31948469,0.292145,LAS-008,0.117,34,Black,Control,0,0.07,12,NA,NA,59,1,0,9,51,0,25.02870147,21.15152148,17.28111222
6,0.31948469,0.292145,LAS-008,0.117,34,Black,Conspecific,0,0.07,12,NA,NA,60,0,0,0,60,0,25.02870147,21.15152148,17.28111222
6,0.31948469,0.292145,LAS-008,0.117,34,Black,Spider,1,0.07,12,NA,NA,54,0,6,41,19,0,25.02870147,21.15152148,17.28111222
6,0.31948469,0.292145,LAS-008,0.117,34,White,Control,1,0.07,12,NA,NA,15,11,34,1,0,59,25.02870147,21.15152148,17.28111222
6,0.31948469,0.292145,LAS-008,0.117,34,White,Conspecific,2,0.07,12,NA,NA,20,2,30,3,9,48,25.02870147,21.15152148,17.28111222
6,0.31948469,0.292145,LAS-008,0.117,34,White,Spider,1,0.07,12,NA,NA,48,2,10,0,2,58,25.02870147,21.15152148,17.28111222
7,0.26707064,0.29274,LAS-009,0.0936,35,Background,NA,NA,0.117,17,4,56,39,21,39,NA,NA,NA,21.314299,16.7713735,12.27533684
7,0.26707064,0.29274,LAS-009,0.0936,35,Black,Control,3,0.117,17,NA,NA,56,0,4,14,46,0,21.314299,16.7713735,12.27533684
7,0.26707064,0.29274,LAS-009,0.0936,35,Black,Conspecific,3,0.117,17,NA,NA,39,14,7,0,3,57,21.314299,16.7713735,12.27533684
7,0.26707064,0.29274,LAS-009,0.0936,35,Black,Spider,0,0.117,17,NA,NA,30,0,20,0,0,60,21.314299,16.7713735,12.27533684
7,0.26707064,0.29274,LAS-009,0.0936,35,White,Control,9,0.117,17,NA,NA,45,12,3,3,7,50,21.314299,16.7713735,12.27533684
7,0.26707064,0.29274,LAS-009,0.0936,35,White,Conspecific,12,0.117,17,NA,NA,38,21,1,6,13,41,21.314299,16.7713735,12.27533684
7,0.26707064,0.29274,LAS-009,0.0936,35,White,Spider,6,0.117,17,NA,NA,45,13,2,17,18,25,21.314299,16.7713735,12.27533684
8,0.51140076,0.38472,LAS-010,0.1175,37,Background,NA,NA,0.117,17,27,33,41,19,0,NA,NA,NA,20.79945449,16.52288968,12.49513621
8,0.51140076,0.38472,LAS-010,0.1175,37,Black,Control,3,0.117,17,NA,NA,50,8,2,1,1,58,20.79945449,16.52288968,12.49513621
8,0.51140076,0.38472,LAS-010,0.1175,37,Black,Conspecific,1,0.117,17,NA,NA,45,6,9,1,0,59,20.79945449,16.52288968,12.49513621
8,0.51140076,0.38472,LAS-010,0.1175,37,Black,Spider,2,0.117,17,NA,NA,30,9,11,1,0,59,20.79945449,16.52288968,12.49513621
8,0.51140076,0.38472,LAS-010,0.1175,37,White,Control,2,0.117,17,NA,NA,54,0,6,32,28,0,20.79945449,16.52288968,12.49513621
8,0.51140076,0.38472,LAS-010,0.1175,37,White,Conspecific,9,0.117,17,NA,NA,22,24,14,2,11,47,20.79945449,16.52288968,12.49513621
8,0.51140076,0.38472,LAS-010,0.1175,37,White,Spider,1,0.117,17,NA,NA,32,5,23,0,1,59,20.79945449,16.52288968,12.49513621
9,0.156595,0.235473,LAS-014,0.07,28,Background,NA,NA,0.1175,17,1,59,58,2,0,NA,NA,NA,40.08779152,36.94932419,33.11903702
9,0.156595,0.235473,LAS-014,0.07,28,Black,Control,1,0.1175,17,NA,NA,56,3,1,11,49,0,40.08779152,36.94932419,33.11903702
9,0.156595,0.235473,LAS-014,0.07,28,Black,Conspecific,1,0.1175,17,NA,NA,55,4,1,1,0,59,40.08779152,36.94932419,33.11903702
9,0.156595,0.235473,LAS-014,0.07,28,Black,Spider,1,0.1175,17,NA,NA,58,0,2,1,0,59,40.08779152,36.94932419,33.11903702
9,0.156595,0.235473,LAS-014,0.07,28,White,Control,1,0.1175,17,NA,NA,58,2,0,0,1,58,40.08779152,36.94932419,33.11903702
9,0.156595,0.235473,LAS-014,0.07,28,White,Conspecific,5,0.1175,17,NA,NA,48,4,8,43,17,0,40.08779152,36.94932419,33.11903702
9,0.156595,0.235473,LAS-014,0.07,28,White,Spider,4,0.1175,17,NA,NA,48,7,5,32,28,0,40.08779152,36.94932419,33.11903702
10,0.28416878,0.354355,LAS-013,0.066,26,Background,NA,NA,0.1175,12,44,26,39,21,0,NA,NA,NA,32.85708032,30.00127278,26.72214266
10,0.28416878,0.354355,LAS-013,0.066,26,Black,Control,0,0.1175,12,NA,NA,60,0,0,60,0,0,32.85708032,30.00127278,26.72214266
10,0.28416878,0.354355,LAS-013,0.066,26,Black,Conspecific,2,0.1175,12,NA,NA,56,4,0,1,46,13,32.85708032,30.00127278,26.72214266
10,0.28416878,0.354355,LAS-013,0.066,26,Black,Spider,0,0.1175,12,NA,NA,58,0,2,60,0,0,32.85708032,30.00127278,26.72214266
10,0.28416878,0.354355,LAS-013,0.066,26,White,Control,3,0.1175,12,NA,NA,53,3,4,30,1,19,32.85708032,30.00127278,26.72214266
10,0.28416878,0.354355,LAS-013,0.066,26,White,Conspecific,2,0.1175,12,NA,NA,41,13,6,0,3,57,32.85708032,30.00127278,26.72214266
10,0.28416878,0.354355,LAS-013,0.066,26,White,Spider,2,0.1175,12,NA,NA,48,3,9,18,1,41,32.85708032,30.00127278,26.72214266
11,0.44022037,0.501435,LAS-015,0.081,41,Background,NA,NA,0.117,14,19,41,58,2,0,NA,NA,NA,12.5221223,9.827896628,7.113420367
11,0.44022037,0.501435,LAS-015,0.081,41,Black,Control,0,0.117,14,NA,NA,57,0,3,60,0,0,12.5221223,9.827896628,7.113420367
11,0.44022037,0.501435,LAS-015,0.081,41,Black,Conspecific,0,0.117,14,NA,NA,48,1,11,60,0,0,12.5221223,9.827896628,7.113420367
11,0.44022037,0.501435,LAS-015,0.081,41,Black,Spider,0,0.117,14,NA,NA,60,0,0,60,0,0,12.5221223,9.827896628,7.113420367
11,0.44022037,0.501435,LAS-015,0.081,41,White,Control,3,0.117,14,NA,NA,57,3,0,14,2,44,12.5221223,9.827896628,7.113420367
11,0.44022037,0.501435,LAS-015,0.081,41,White,Conspecific,1,0.117,14,NA,NA,57,0,3,1,0,59,12.5221223,9.827896628,7.113420367
11,0.44022037,0.501435,LAS-015,0.081,41,White,Spider,0,0.117,14,NA,NA,60,0,0,60,0,0,12.5221223,9.827896628,7.113420367
12,0.53001869,0.403793,LAS-016,0.036,26,Background,NA,NA,0.1,14,22,38,47,13,0,NA,NA,NA,30.48565048,27.73644604,24.88395146
12,0.53001869,0.403793,LAS-016,0.036,26,Black,Control,6,0.1,14,NA,NA,44,11,5,13,9,38,30.48565048,27.73644604,24.88395146
12,0.53001869,0.403793,LAS-016,0.036,26,Black,Conspecific,15,0.1,14,NA,NA,39,20,1,23,18,19,30.48565048,27.73644604,24.88395146
12,0.53001869,0.403793,LAS-016,0.036,26,Black,Spider,1,0.1,14,NA,NA,42,16,2,0,20,30,30.48565048,27.73644604,24.88395146
12,0.53001869,0.403793,LAS-016,0.036,26,White,Control,0,0.1,14,NA,NA,48,9,3,0,0,60,30.48565048,27.73644604,24.88395146
12,0.53001869,0.403793,LAS-016,0.036,26,White,Conspecific,4,0.1,14,NA,NA,41,14,5,0,0,60,30.48565048,27.73644604,24.88395146
12,0.53001869,0.403793,LAS-016,0.036,26,White,Spider,2,0.1,14,NA,NA,44,16,0,0,18,42,30.48565048,27.73644604,24.88395146
13,0.61830454,0.399963,LAS-017,0.098,32,Background,NA,NA,0.066,14,1,59,57,3,0,NA,NA,NA,10.13662932,7.567674378,5.186876621
13,0.61830454,0.399963,LAS-017,0.098,32,Black,Control,0,0.066,14,NA,NA,60,0,0,60,0,0,10.13662932,7.567674378,5.186876621
13,0.61830454,0.399963,LAS-017,0.098,32,Black,Conspecific,1,0.066,14,NA,NA,59,0,1,22,38,0,10.13662932,7.567674378,5.186876621
13,0.61830454,0.399963,LAS-017,0.098,32,Black,Spider,0,0.066,14,NA,NA,60,0,0,60,0,0,10.13662932,7.567674378,5.186876621
13,0.61830454,0.399963,LAS-017,0.098,32,White,Control,0,0.066,14,NA,NA,59,0,1,60,0,0,10.13662932,7.567674378,5.186876621
13,0.61830454,0.399963,LAS-017,0.098,32,White,Conspecific,1,0.066,14,NA,NA,59,1,0,1,0,59,10.13662932,7.567674378,5.186876621
13,0.61830454,0.399963,LAS-017,0.098,32,White,Spider,0,0.066,14,NA,NA,59,1,0,0,0,60,10.13662932,7.567674378,5.186876621
14,0.1969033,0.303711,LAS-019,0.053,27,Background,NA,NA,0.0936,15,0,60,39,20,1,NA,NA,NA,35.07310977,33.07107904,30.53251052
14,0.1969033,0.303711,LAS-019,0.053,27,Black,Control,0,0.0936,15,NA,NA,60,0,0,60,0,0,35.07310977,33.07107904,30.53251052
14,0.1969033,0.303711,LAS-019,0.053,27,Black,Conspecific,0,0.0936,15,NA,NA,59,1,0,60,0,0,35.07310977,33.07107904,30.53251052
14,0.1969033,0.303711,LAS-019,0.053,27,Black,Spider,0,0.0936,15,NA,NA,60,0,0,60,0,0,35.07310977,33.07107904,30.53251052
14,0.1969033,0.303711,LAS-019,0.053,27,White,Control,2,0.0936,15,NA,NA,27,14,19,2,6,52,35.07310977,33.07107904,30.53251052
14,0.1969033,0.303711,LAS-019,0.053,27,White,Conspecific,0,0.0936,15,NA,NA,60,0,0,60,0,0,35.07310977,33.07107904,30.53251052
14,0.1969033,0.303711,LAS-019,0.053,27,White,Spider,2,0.0936,15,NA,NA,49,2,9,2,46,12,35.07310977,33.07107904,30.53251052
15,0.53096515,0.570831,LAS-020,0.073,34,Background,NA,NA,0.174,14,41,19,41,19,0,NA,NA,NA,13.00416404,9.265535529,6.534780323
15,0.53096515,0.570831,LAS-020,0.073,34,Black,Control,1,0.174,14,NA,NA,51,0,9,39,13,8,13.00416404,9.265535529,6.534780323
15,0.53096515,0.570831,LAS-020,0.073,34,Black,Conspecific,4,0.174,14,NA,NA,35,18,7,1,0,59,13.00416404,9.265535529,6.534780323
15,0.53096515,0.570831,LAS-020,0.073,34,Black,Spider,0,0.174,14,NA,NA,48,7,5,0,0,60,13.00416404,9.265535529,6.534780323
15,0.53096515,0.570831,LAS-020,0.073,34,White,Control,6,0.174,14,NA,NA,44,11,5,9,4,47,13.00416404,9.265535529,6.534780323
15,0.53096515,0.570831,LAS-020,0.073,34,White,Conspecific,13,0.174,14,NA,NA,29,26,5,2,7,51,13.00416404,9.265535529,6.534780323
15,0.53096515,0.570831,LAS-020,0.073,34,White,Spider,15,0.174,14,NA,NA,37,17,6,3,4,53,13.00416404,9.265535529,6.534780323
16,0.7703239,0.490249,LAS-022,0.035,26,Background,NA,NA,0.098,14,0,60,59,1,0,NA,NA,NA,7.351570215,5.328714165,3.388570485
16,0.7703239,0.490249,LAS-022,0.035,26,Black,Control,6,0.098,14,NA,NA,53,7,0,13,45,2,7.351570215,5.328714165,3.388570485
16,0.7703239,0.490249,LAS-022,0.035,26,Black,Conspecific,0,0.098,14,NA,NA,60,0,0,60,0,0,7.351570215,5.328714165,3.388570485
16,0.7703239,0.490249,LAS-022,0.035,26,Black,Spider,4,0.098,14,NA,NA,51,7,2,13,47,0,7.351570215,5.328714165,3.388570485
16,0.7703239,0.490249,LAS-022,0.035,26,White,Control,6,0.098,14,NA,NA,53,7,0,1,3,56,7.351570215,5.328714165,3.388570485
16,0.7703239,0.490249,LAS-022,0.035,26,White,Conspecific,2,0.098,14,NA,NA,53,4,3,1,1,58,7.351570215,5.328714165,3.388570485
16,0.7703239,0.490249,LAS-022,0.035,26,White,Spider,5,0.098,14,NA,NA,49,6,5,49,2,9,7.351570215,5.328714165,3.388570485
17,0.10615874,0.171204,LAS-021,0.02,26,Background,NA,NA,0.098,12,0,60,53,6,1,NA,NA,NA,55.76422195,54.44234187,54.98352726
17,0.10615874,0.171204,LAS-021,0.02,26,Black,Control,17,0.098,12,NA,NA,33,27,0,19,17,24,55.76422195,54.44234187,54.98352726
17,0.10615874,0.171204,LAS-021,0.02,26,Black,Conspecific,3,0.098,12,NA,NA,52,8,0,12,10,38,55.76422195,54.44234187,54.98352726
17,0.10615874,0.171204,LAS-021,0.02,26,Black,Spider,2,0.098,12,NA,NA,58,2,0,30,2,28,55.76422195,54.44234187,54.98352726
17,0.10615874,0.171204,LAS-021,0.02,26,White,Control,14,0.098,12,NA,NA,38,20,2,25,8,27,55.76422195,54.44234187,54.98352726
17,0.10615874,0.171204,LAS-021,0.02,26,White,Conspecific,13,0.098,12,NA,NA,23,37,0,14,3,43,55.76422195,54.44234187,54.98352726
17,0.10615874,0.171204,LAS-021,0.02,26,White,Spider,8,0.098,12,NA,NA,21,39,0,14,7,39,55.76422195,54.44234187,54.98352726
18,0.23049165,0.381561,LAS-023,0.025,26,Background,NA,NA,0.066,12,4,56,57,3,0,NA,NA,NA,37.18686207,33.76212942,30.2805903
18,0.23049165,0.381561,LAS-023,0.025,26,Black,Control,1,0.066,12,NA,NA,51,8,1,3,0,57,37.18686207,33.76212942,30.2805903
18,0.23049165,0.381561,LAS-023,0.025,26,Black,Conspecific,0,0.066,12,NA,NA,56,4,0,0,0,60,37.18686207,33.76212942,30.2805903
18,0.23049165,0.381561,LAS-023,0.025,26,Black,Spider,6,0.066,12,NA,NA,53,6,1,20,1,39,37.18686207,33.76212942,30.2805903
18,0.23049165,0.381561,LAS-023,0.025,26,White,Control,3,0.066,12,NA,NA,54,5,1,0,56,4,37.18686207,33.76212942,30.2805903
18,0.23049165,0.381561,LAS-023,0.025,26,White,Conspecific,2,0.066,12,NA,NA,49,5,6,0,0,60,37.18686207,33.76212942,30.2805903
18,0.23049165,0.381561,LAS-023,0.025,26,White,Spider,2,0.066,12,NA,NA,50,6,4,1,0,59,37.18686207,33.76212942,30.2805903
19,0.41488833,0.296585,LAS-025,0.123,41,Background,NA,NA,0.073,15,4,56,49,10,1,NA,NA,NA,14.70489489,10.44595002,6.994213033
19,0.41488833,0.296585,LAS-025,0.123,41,Black,Control,7,0.073,15,NA,NA,43,0,17,30,30,0,14.70489489,10.44595002,6.994213033
19,0.41488833,0.296585,LAS-025,0.123,41,Black,Conspecific,0,0.073,15,NA,NA,50,0,10,60,0,0,14.70489489,10.44595002,6.994213033
19,0.41488833,0.296585,LAS-025,0.123,41,Black,Spider,1,0.073,15,NA,NA,50,0,10,30,30,0,14.70489489,10.44595002,6.994213033
19,0.41488833,0.296585,LAS-025,0.123,41,White,Control,6,0.073,15,NA,NA,48,0,12,34,8,18,14.70489489,10.44595002,6.994213033
19,0.41488833,0.296585,LAS-025,0.123,41,White,Conspecific,4,0.073,15,NA,NA,36,11,13,5,3,52,14.70489489,10.44595002,6.994213033
19,0.41488833,0.296585,LAS-025,0.123,41,White,Spider,13,0.073,15,NA,NA,35,0,25,37,23,0,14.70489489,10.44595002,6.994213033
20,0.30719644,0.370041,LAS-024,0.025,25,Background,NA,NA,0.073,15,0,60,59,1,0,NA,NA,NA,12.37875633,9.77921957,7.755818637
20,0.30719644,0.370041,LAS-024,0.025,25,Black,Control,2,0.073,15,NA,NA,51,9,0,23,4,33,12.37875633,9.77921957,7.755818637
20,0.30719644,0.370041,LAS-024,0.025,25,Black,Conspecific,12,0.073,15,NA,NA,32,24,4,11,9,30,12.37875633,9.77921957,7.755818637
20,0.30719644,0.370041,LAS-024,0.025,25,Black,Spider,5,0.073,15,NA,NA,51,5,4,41,18,1,12.37875633,9.77921957,7.755818637
20,0.30719644,0.370041,LAS-024,0.025,25,White,Control,27,0.073,15,NA,NA,4,45,1,2,21,37,12.37875633,9.77921957,7.755818637
20,0.30719644,0.370041,LAS-024,0.025,25,White,Conspecific,13,0.073,15,NA,NA,45,15,0,41,9,10,12.37875633,9.77921957,7.755818637
20,0.30719644,0.370041,LAS-024,0.025,25,White,Spider,5,0.073,15,NA,NA,43,13,4,6,3,51,12.37875633,9.77921957,7.755818637
21,0.23004498,0.548813,LAS-026,0.012,25,Background,NA,NA,0.073,15,23,37,42,18,0,NA,NA,NA,54.00565547,53.82408457,55.38945048
21,0.23004498,0.548813,LAS-026,0.012,25,Black,Control,0,0.073,15,NA,NA,60,0,0,60,0,0,54.00565547,53.82408457,55.38945048
21,0.23004498,0.548813,LAS-026,0.012,25,Black,Conspecific,4,0.073,15,NA,NA,35,21,4,21,13,26,54.00565547,53.82408457,55.38945048
21,0.23004498,0.548813,LAS-026,0.012,25,Black,Spider,0,0.073,15,NA,NA,51,4,5,60,0,0,54.00565547,53.82408457,55.38945048
21,0.23004498,0.548813,LAS-026,0.012,25,White,Control,3,0.073,15,NA,NA,29,26,5,42,17,1,54.00565547,53.82408457,55.38945048
21,0.23004498,0.548813,LAS-026,0.012,25,White,Conspecific,0,0.073,15,NA,NA,60,0,0,60,0,0,54.00565547,53.82408457,55.38945048
21,0.23004498,0.548813,LAS-026,0.012,25,White,Spider,1,0.073,15,NA,NA,39,14,7,0,34,26,54.00565547,53.82408457,55.38945048
22,0.09408199,0.18132,LAS-027,0.115,27,Background,NA,NA,0.123,15,0,60,59,1,0,NA,NA,NA,43.44055856,42.26112844,42.0961163
22,0.09408199,0.18132,LAS-027,0.115,27,Black,Control,1,0.123,15,NA,NA,60,0,0,17,0,43,43.44055856,42.26112844,42.0961163
22,0.09408199,0.18132,LAS-027,0.115,27,Black,Conspecific,1,0.123,15,NA,NA,59,1,0,11,49,0,43.44055856,42.26112844,42.0961163
22,0.09408199,0.18132,LAS-027,0.115,27,Black,Spider,3,0.123,15,NA,NA,51,2,7,41,19,8,43.44055856,42.26112844,42.0961163
22,0.09408199,0.18132,LAS-027,0.115,27,White,Control,1,0.123,15,NA,NA,52,6,2,8,0,52,43.44055856,42.26112844,42.0961163
22,0.09408199,0.18132,LAS-027,0.115,27,White,Conspecific,0,0.123,15,NA,NA,54,0,6,60,0,0,43.44055856,42.26112844,42.0961163
22,0.09408199,0.18132,LAS-027,0.115,27,White,Spider,8,0.123,15,NA,NA,43,11,6,26,14,20,43.44055856,42.26112844,42.0961163
23,0.76009621,0.571182,LAS-028,0.01,25,Background,NA,NA,0.07,15,60,0,50,10,0,NA,NA,NA,7.28441462,6.091527263,5.078518884
23,0.76009621,0.571182,LAS-028,0.01,25,Black,Control,2,0.07,15,NA,NA,45,13,2,35,3,22,7.28441462,6.091527263,5.078518884
23,0.76009621,0.571182,LAS-028,0.01,25,Black,Conspecific,9,0.07,15,NA,NA,34,25,1,33,27,0,7.28441462,6.091527263,5.078518884
23,0.76009621,0.571182,LAS-028,0.01,25,Black,Spider,3,0.07,15,NA,NA,53,5,2,34,26,0,7.28441462,6.091527263,5.078518884
23,0.76009621,0.571182,LAS-028,0.01,25,White,Control,7,0.07,15,NA,NA,43,11,6,23,37,0,7.28441462,6.091527263,5.078518884
23,0.76009621,0.571182,LAS-028,0.01,25,White,Conspecific,1,0.07,15,NA,NA,56,2,2,0,23,37,7.28441462,6.091527263,5.078518884
23,0.76009621,0.571182,LAS-028,0.01,25,White,Spider,0,0.07,15,NA,NA,57,0,3,60,0,0,7.28441462,6.091527263,5.078518884
24,0.12210027,0.186707,LAS-029,0.099,36,Background,NA,NA,0.07,15,0,60,60,0,0,NA,NA,NA,39.24022945,37.15630118,35.95201471
24,0.12210027,0.186707,LAS-029,0.099,36,Black,Control,0,0.07,15,NA,NA,42,1,17,60,0,0,39.24022945,37.15630118,35.95201471
24,0.12210027,0.186707,LAS-029,0.099,36,Black,Conspecific,6,0.07,15,NA,NA,50,0,10,33,27,0,39.24022945,37.15630118,35.95201471
24,0.12210027,0.186707,LAS-029,0.099,36,Black,Spider,2,0.07,15,NA,NA,52,0,8,11,26,23,39.24022945,37.15630118,35.95201471
24,0.12210027,0.186707,LAS-029,0.099,36,White,Control,4,0.07,15,NA,NA,33,1,26,57,3,0,39.24022945,37.15630118,35.95201471
24,0.12210027,0.186707,LAS-029,0.099,36,White,Conspecific,11,0.07,15,NA,NA,35,0,25,51,9,0,39.24022945,37.15630118,35.95201471
24,0.12210027,0.186707,LAS-029,0.099,36,White,Spider,0,0.07,15,NA,NA,41,0,19,60,0,0,39.24022945,37.15630118,35.95201471
25,0.31373386,0.243256,LAS-030,0.04,30,Background,NA,NA,0.053,13,6,54,47,13,0,NA,NA,NA,21.04291964,16.87755527,13.36043532
25,0.31373386,0.243256,LAS-030,0.04,30,Black,Control,5,0.053,13,NA,NA,43,17,0,0,0,60,21.04291964,16.87755527,13.36043532
25,0.31373386,0.243256,LAS-030,0.04,30,Black,Conspecific,5,0.053,13,NA,NA,48,6,6,37,9,14,21.04291964,16.87755527,13.36043532
25,0.31373386,0.243256,LAS-030,0.04,30,Black,Spider,1,0.053,13,NA,NA,55,5,0,22,38,0,21.04291964,16.87755527,13.36043532
25,0.31373386,0.243256,LAS-030,0.04,30,White,Control,0,0.053,13,NA,NA,56,2,2,0,0,60,21.04291964,16.87755527,13.36043532
25,0.31373386,0.243256,LAS-030,0.04,30,White,Conspecific,1,0.053,13,NA,NA,55,1,4,51,9,0,21.04291964,16.87755527,13.36043532
25,0.31373386,0.243256,LAS-030,0.04,30,White,Spider,0,0.053,13,NA,NA,55,2,3,0,0,60,21.04291964,16.87755527,13.36043532
